photo_file,photo_id,signal_info.movement,departure_time,car_type,lane,car_info.movement,Tracking_ID
EW04_20220726073000,EW04_20220726073000_00052.jpg,s,00:26.00,car,6,r,0
EW04_20220726073000,EW04_20220726073000_00095.jpg,tl,00:47.50,car,1,l,0
EW04_20220726073000,EW04_20220726073000_00096.jpg,tl,00:48.00,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00099.jpg,tl,00:49.50,small_truck,2,l,0
EW04_20220726073000,EW04_20220726073000_00099.jpg,tl,00:49.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00100.jpg,tl,00:50.00,car,5,t,0
EW04_20220726073000,EW04_20220726073000_00101.jpg,tl,00:50.50,car,1,u,0
EW04_20220726073000,EW04_20220726073000_00103.jpg,tl,00:51.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00104.jpg,tl,00:52.00,car,2,l,0
EW04_20220726073000,EW04_20220726073000_00105.jpg,tl,00:52.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00109.jpg,tl,00:54.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00109.jpg,tl,00:54.50,car,5,t,0
EW04_20220726073000,EW04_20220726073000_00110.jpg,tl,00:55.00,small_truck,3,t,0
EW04_20220726073000,EW04_20220726073000_00113.jpg,tl,00:56.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00113.jpg,tl,00:56.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00113.jpg,tl,00:56.50,car,5,t,0
EW04_20220726073000,EW04_20220726073000_00115.jpg,t,00:57.50,small_truck,5,t,0
EW04_20220726073000,EW04_20220726073000_00117.jpg,t,00:58.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00118.jpg,t,00:59.00,small_truck,4,t,0
EW04_20220726073000,EW04_20220726073000_00121.jpg,t,01:00.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00121.jpg,t,01:00.50,bus,5,t,0
EW04_20220726073000,EW04_20220726073000_00121.jpg,t,01:00.50,car,1,u,0
EW04_20220726073000,EW04_20220726073000_00122.jpg,t,01:01.00,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00125.jpg,t,01:02.50,small_truck,4,t,0
EW04_20220726073000,EW04_20220726073000_00125.jpg,t,01:02.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00128.jpg,t,01:04.00,car,5,t,0
EW04_20220726073000,EW04_20220726073000_00128.jpg,t,01:04.00,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00131.jpg,t,01:05.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00132.jpg,t,01:06.00,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00133.jpg,t,01:06.50,car,5,t,0
EW04_20220726073000,EW04_20220726073000_00136.jpg,t,01:08.00,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00139.jpg,t,01:09.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00154.jpg,t,01:17.00,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00162.jpg,t,01:21.00,small_truck,3,t,0
EW04_20220726073000,EW04_20220726073000_00172.jpg,t,01:26.00,large_truck,3,t,0
EW04_20220726073000,EW04_20220726073000_00185.jpg,t,01:32.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00187.jpg,t,01:33.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00188.jpg,t,01:34.00,small_truck,3,t,0
EW04_20220726073000,EW04_20220726073000_00286.jpg,s,02:23.00,car,1,u,0
EW04_20220726073000,EW04_20220726073000_00287.jpg,s,02:23.50,car,1,u,0
EW04_20220726073000,EW04_20220726073000_00414.jpg,tl,03:27.00,bike,6,t,0
EW04_20220726073000,EW04_20220726073000_00416.jpg,tl,03:28.00,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00416.jpg,tl,03:28.00,car,1,l,0
EW04_20220726073000,EW04_20220726073000_00418.jpg,tl,03:29.00,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00421.jpg,tl,03:30.50,small_truck,2,l,0
EW04_20220726073000,EW04_20220726073000_00421.jpg,tl,03:30.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00421.jpg,tl,03:30.50,car,1,l,0
EW04_20220726073000,EW04_20220726073000_00423.jpg,tl,03:31.50,bus,5,t,0
EW04_20220726073000,EW04_20220726073000_00424.jpg,tl,03:32.00,car,1,l,0
EW04_20220726073000,EW04_20220726073000_00425.jpg,tl,03:32.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00428.jpg,tl,03:34.00,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00429.jpg,tl,03:34.50,car,5,t,0
EW04_20220726073000,EW04_20220726073000_00429.jpg,tl,03:34.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00431.jpg,tl,03:35.50,car,4,t,0
EW04_20220726073000,EW04_20220726073000_00433.jpg,t,03:36.50,car,3,t,0
EW04_20220726073000,EW04_20220726073000_00433.jpg,t,03:36.50,car,5,t,0
