photo_file,photo_id,signal_info.movement,departure_time,car_type,lane,car_info.movement,Tracking_ID
EW04_20220726071500,EW04_20220726071500_00001.jpg,t,00:00.50,bus,5,t,0
EW04_20220726071500,EW04_20220726071500_00001.jpg,t,00:00.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00007.jpg,t,00:03.50,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00008.jpg,t,00:04.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00010.jpg,t,00:05.00,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00013.jpg,t,00:06.50,small_truck,4,t,0
EW04_20220726071500,EW04_20220726071500_00015.jpg,t,00:07.50,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00016.jpg,t,00:08.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00016.jpg,t,00:08.00,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00021.jpg,t,00:10.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00024.jpg,t,00:12.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00036.jpg,t,00:18.00,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00041.jpg,t,00:20.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00163.jpg,s,01:21.50,bus,1,u,0
EW04_20220726071500,EW04_20220726071500_00293.jpg,tl,02:26.50,bike,4,t,0
EW04_20220726071500,EW04_20220726071500_00294.jpg,tl,02:27.00,small_truck,6,r,0
EW04_20220726071500,EW04_20220726071500_00297.jpg,tl,02:28.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00297.jpg,tl,02:28.50,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00299.jpg,tl,02:29.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00300.jpg,tl,02:30.00,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00302.jpg,tl,02:31.00,small_truck,4,t,0
EW04_20220726071500,EW04_20220726071500_00303.jpg,tl,02:31.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00306.jpg,tl,02:33.00,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00306.jpg,tl,02:33.00,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00310.jpg,tl,02:35.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00311.jpg,tl,02:35.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00312.jpg,tl,02:36.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00313.jpg,tl,02:36.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00314.jpg,tl,02:37.00,bus,5,t,0
EW04_20220726071500,EW04_20220726071500_00315.jpg,t,02:37.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00316.jpg,t,02:38.00,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00320.jpg,t,02:40.00,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00321.jpg,t,02:40.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00323.jpg,t,02:41.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00324.jpg,t,02:42.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00331.jpg,t,02:45.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00338.jpg,t,02:49.00,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00343.jpg,t,02:51.50,car,5,t,0
EW04_20220726071500,EW04_20220726071500_00353.jpg,t,02:56.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00356.jpg,t,02:58.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00364.jpg,t,03:02.00,small_truck,4,t,0
EW04_20220726071500,EW04_20220726071500_00367.jpg,t,03:03.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00371.jpg,t,03:05.50,bus,4,t,0
EW04_20220726071500,EW04_20220726071500_00376.jpg,t,03:08.00,small_truck,3,t,0
EW04_20220726071500,EW04_20220726071500_00380.jpg,t,03:10.00,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00387.jpg,t,03:13.50,car,4,t,0
EW04_20220726071500,EW04_20220726071500_00387.jpg,t,03:13.50,car,3,t,0
EW04_20220726071500,EW04_20220726071500_00482.jpg,s,04:01.00,car,1,u,0
EW04_20220726071500,EW04_20220726071500_00487.jpg,s,04:03.50,car,1,u,0
EW04_20220726071500,EW04_20220726071500_00563.jpg,s,04:41.50,car,6,r,0
