photo_file,photo_id,signal_info.movement,departure_time,car_type,lane,car_info.movement,Tracking_ID
EW04_20220726182000,EW04_20220726182000_00035.jpg,s,00:17.50,car,1,u,0
EW04_20220726182000,EW04_20220726182000_00068.jpg,s,00:34.00,car,1,u,0
EW04_20220726182000,EW04_20220726182000_00074.jpg,s,00:37.00,car,1,u,0
EW04_20220726182000,EW04_20220726182000_00079.jpg,s,00:39.50,car,1,u,0
EW04_20220726182000,EW04_20220726182000_00115.jpg,s,00:57.50,car,1,u,0
EW04_20220726182000,EW04_20220726182000_00126.jpg,s,01:03.00,car,6,r,0
EW04_20220726182000,EW04_20220726182000_00135.jpg,s,01:07.50,car,6,r,0
EW04_20220726182000,EW04_20220726182000_00163.jpg,s,01:21.50,bike,2,t,0
EW04_20220726182000,EW04_20220726182000_00168.jpg,s,01:24.00,bike,1,u,0
EW04_20220726182000,EW04_20220726182000_00171.jpg,tl,01:25.50,car,1,u,0
EW04_20220726182000,EW04_20220726182000_00172.jpg,tl,01:26.00,bus,1,l,0
EW04_20220726182000,EW04_20220726182000_00173.jpg,tl,01:26.50,car,6,t,0
EW04_20220726182000,EW04_20220726182000_00173.jpg,tl,01:26.50,bike,6,t,0
EW04_20220726182000,EW04_20220726182000_00180.jpg,tl,01:30.00,car,3,t,0
EW04_20220726182000,EW04_20220726182000_00182.jpg,tl,01:31.00,car,2,l,0
EW04_20220726182000,EW04_20220726182000_00182.jpg,tl,01:31.00,bus,5,t,0
EW04_20220726182000,EW04_20220726182000_00183.jpg,tl,01:31.50,car,3,t,0
EW04_20220726182000,EW04_20220726182000_00184.jpg,tl,01:32.00,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00186.jpg,tl,01:33.00,car,2,l,0
EW04_20220726182000,EW04_20220726182000_00186.jpg,tl,01:33.00,car,1,l,0
EW04_20220726182000,EW04_20220726182000_00188.jpg,tl,01:34.00,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00190.jpg,tl,01:35.00,bus,5,t,0
EW04_20220726182000,EW04_20220726182000_00191.jpg,tl,01:35.50,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00191.jpg,tl,01:35.50,car,3,t,0
EW04_20220726182000,EW04_20220726182000_00193.jpg,tl,01:36.50,bike,2,t,0
EW04_20220726182000,EW04_20220726182000_00194.jpg,tl,01:37.00,small_truck,2,l,0
EW04_20220726182000,EW04_20220726182000_00196.jpg,tl,01:38.00,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00196.jpg,tl,01:38.00,car,3,t,0
EW04_20220726182000,EW04_20220726182000_00201.jpg,tl,01:40.50,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00203.jpg,tl,01:41.50,car,3,t,0
EW04_20220726182000,EW04_20220726182000_00203.jpg,tl,01:41.50,car,5,t,0
EW04_20220726182000,EW04_20220726182000_00206.jpg,tl,01:43.00,car,3,t,0
EW04_20220726182000,EW04_20220726182000_00206.jpg,tl,01:43.00,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00209.jpg,t,01:44.50,car,5,t,0
EW04_20220726182000,EW04_20220726182000_00212.jpg,t,01:46.00,car,4,t,0
EW04_20220726182000,EW04_20220726182000_00213.jpg,t,01:46.50,car,3,t,0
